id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies
530915,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",en,119,['US'],100000000,394638258,12-25-19,"War, History, Thriller","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films"
466272,Once Upon a Time... in Hollywood,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",en,162,['US'],95000000,392105159,07-24-19,"Comedy, Drama, Thriller","Heyday Films, Columbia Pictures, Bona Film Group"
373571,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",en,132,['US'],170000000,387300138,05-29-19,"Science Fiction, Action","Legendary Pictures, Huahua Media, TOHO"
287947,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,en,132,['US'],80000000,367799011,03-29-19,"Action, Comedy, Fantasy","New Line Cinema, The Safran Company, Seven Bucks Productions, DC Films"
329996,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",en,112,"['US', 'GB']",170000000,353284621,03-27-19,"Family, Fantasy, Adventure","Tim Burton Productions, Walt Disney Pictures, Infinite Detective, Secret Machine Entertainment"
458156,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",en,131,['US'],55000000,326709727,05-15-19,"Action, Thriller, Crime","Thunder Road, Lionsgate, 87Eleven"
546554,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",en,131,['US'],40000000,312897920,11-27-19,"Comedy, Crime, Mystery","Lionsgate, MRC, T-Street"
290859,Terminator: Dark Fate,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",en,128,['US'],185000000,261119292,10-23-19,"Science Fiction, Action, Adventure, Thriller","20th Century Fox, Skydance Media, Paramount Pictures, Tencent Pictures, TSG Entertainment, Lightstorm Entertainment"
496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",ko,133,['KR'],11363000,257591776,05-30-19,"Comedy, Thriller, Drama",Barunson E&A
458723,Us,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",en,116,['US'],20000000,256067149,03-14-19,"Horror, Mystery, Thriller","Monkeypaw Productions, Universal Pictures, Perfect World Pictures, Blumhouse Productions, QC Entertainment"
